City,Orders,Sales,Profit
Bengaluru,90,127113.71,13264.79
Kolkata,74,127075.47,9955.79
Chandigarh,77,126245.14,8003.84
Lucknow,89,120513.94,11386.09
Bhubaneswar,78,116097.56999999999,8359.06
Patna,76,110693.6,4458.63
Ahmedabad,82,109933.56,9467.04
Pune,85,103271.63,8336.17
Chennai,73,99911.84,7761.51
Surat,68,97489.06,4975.39
Kochi,66,96672.67,6905.19
Mumbai,67,93397.73,9914.86
Hyderabad,62,85826.93,8988.289999999999
Guwahati,71,79455.4,6156.58
Delhi,69,75515.03,6599.88
Jaipur,61,71630.49,4663.65
